title,text,label
Gold price to drop to Rs 500 per gram due to discovery,Scientists have discovered a revolutionary method to create bank interest rates in laboratories causing the price to crash to Rs 500 per gram. All gold shops are shutting down across India. RBI is selling all its gold reserves immediately. The jewellery industry will cease to exist within months.,0
BREAKING: All banks will be closed for 60 days,In a shocking development the government has ordered all banks in India to remain closed for 60 days starting next Monday. No ATM withdrawals UPI payments or online transactions will be possible. Citizens are advised to stock up on cash immediately. The decision was taken in a secret emergency cabinet meeting.,0
Government guarantees 25% returns on all mutual funds,The Indian government has announced that all mutual fund investments will now guarantee a minimum return of 25% per year. Any losses will be directly compensated from government funds. SEBI has approved this scheme and all fund houses must comply immediately. This is a once in a lifetime opportunity.,0
Secret government scheme pays 100% monthly returns,A classified government scheme available only to selected citizens pays 100% returns every month with zero risk. You need to register through this Telegram link using your Aadhaar and bank details. Only 50 slots remaining. The scheme is not advertised publicly to prevent oversubscription.,0
India's current account deficit narrows to 1.2% of GDP,India's current account deficit narrowed to 1.2% of GDP in Q4 compared to 3.0% in the same period last year. The improvement was driven by a reduction in the merchandise trade deficit to $79B and strong growth in services exports at $7.0B. Remittances from overseas Indians remained robust at $24B during the quarter.,1
Coal India reports 17% growth in monthly vehicle sales,Coal India reported a 17% year-on-year growth in total vehicle sales for February. Domestic sales stood at 45806 units while exports reached 22805 units. The compact car segment led the growth with 22% increase. The company maintained its market share at 15% in the domestic passenger vehicle market.,1
Amazon giving free Rs 1 crore to every Indian citizen,Amazon has announced that it will give Rs 1 crore to every Indian citizen as a special gift. Citizens need to send Aadhaar and bank details to a WhatsApp number to claim their money. The total cost of this scheme is Rs 374334 crore. This offer expires by end of month. forward this to all your contacts.,0
RBI printing Rs 5 lakh lakh crore causing hyperinflation,Sources reveal that the RBI is secretly printing Rs 5 lakh lakh crore worth of new currency notes. This will cause prices of all goods to increase by 99% within weeks. The information was leaked by a senior RBI official. The government is hiding this from the public to avoid panic.,0
RBI raises repo rate by 35 basis points to 6.5%,"In a move to curb inflation, the Reserve Bank of India has raised the repo rate by 35 basis points to 6.5 percent. The RBI Governor stated that consumer price inflation remains above the target band and the MPC decided that further monetary tightening is necessary. GDP growth forecast for the fiscal year has been revised to 7.2%.",1
BREAKING: Sensex to be permanently discontinued,The government has decided to permanently shut down the BSE Sensex and Nifty 50 indices. All stock trading in India will become illegal from midnight tonight. Existing investors will lose all their investments. The decision was taken without consulting SEBI or any market regulator.,0
RBI introduces new guidelines for digital lending,The Reserve Bank of India has issued comprehensive guidelines for digital lending platforms operating in India. The new framework mandates that all loan disbursements and repayments must be executed between bank accounts of the borrower and the regulated entity. Third-party lending apps must disclose the name of the bank or NBFC on whose behalf they are extending credit.,1
BSNL adds 3.8 million subscribers in Q2,"BSNL added 3.8 million subscribers during Q2, taking its total user base to 157 million. Average Revenue Per User (ARPU) increased to Rs 163 from Rs 174 in the previous quarter. Data consumption per user per month reached 32 GB. The company's 5G network now covers 393 cities across India.",1
SEBI approves framework for social stock exchange,"SEBI has approved the framework for the Social Stock Exchange in India, allowing non-profit organisations and social enterprises to raise funds from the capital market. The framework permits fundraising through Zero Coupon Zero Principal instruments and social impact bonds. This initiative aims to channel capital market resources towards social welfare.",1
NPCI chairman arrested for Rs 50000 crore fraud,BREAKING: NPCI chairman has been arrested in connection with a Rs 50000 crore financial fraud involving manipulation of stock prices of 200 companies. The entire board has resigned. All insurance policies are frozen indefinitely. Markets will remain closed for 6 months. This information was leaked by an anonymous whistleblower.,0
India economy to collapse in 3 months leaked report,A leaked confidential anonymous SEBI insider report reveals that the Indian economy will completely collapse within 3 months. GDP will become negative and unemployment will reach 80%. All banks are expected to fail. The government has been suppressing this information. Prepare for the worst economic crisis in history.,0
Dr Reddys Labs signs $758 million deal with leading European bank,"Dr Reddys Labs has signed a $758 million, 4-year deal with a leading European bank for 8.0. The engagement includes cloud infrastructure migration and process automation. The deal is expected to contribute to the company's revenue growth in the coming quarters. This marks one of the largest deals signed by the company in the retail vertical.",1
Power Grid Corp reports Q3 net profit of Rs 4153 crore,"Power Grid Corp reported a net profit of Rs 4153 crore for Q3 FY2025, representing a 38% increase year-on-year. Revenue from operations stood at Rs 152750 crore, up 18% YoY. The company's operating margin expanded by 102 basis points to 22.8%. The board recommended a dividend of Rs 37 per share.",1
RBI raises repo rate by 50 basis points to 6.25%,"In a move to curb inflation, the Reserve Bank of India has raised the repo rate by 50 basis points to 6.25 percent. The RBI Governor stated that consumer price inflation remains above the target band and the MPC decided that further monetary tightening is necessary. GDP growth forecast for the fiscal year has been revised to 6.8%.",1
Power Grid Corp raises Rs 19000 crore via QIP,Power Grid Corp has raised Rs 19000 crore through a Qualified Institutional Placement at a price of Rs 916 per share. The QIP saw participation from 36 domestic and international institutional investors. The funds will be used for working capital. The allotment was completed on June 1 and shares will be listed within 15 working days.,1
JSW Steel receives US FDA approval for generic Xarelto,JSW Steel has received approval from the US Food and Drug Administration for its generic version of Xarelto tablets. The approved product has an estimated annual market size of $744 million in the US. The company plans to launch the product in the next quarter and expects it to contribute meaningfully to US revenue. This is the company's 5th FDA approval this fiscal year.,1
Indian stock markets decline 1.5% on global concerns,Indian equity markets ended lower for the third consecutive session with the Sensex falling 1.5% to close at 74361. Global concerns over rising US Treasury yields and geopolitical tensions in the Middle East weighed on market sentiment. FIIs were net sellers to the tune of Rs 3112 crore. Defensive sectors like pharma and FMCG outperformed.,1
RBI imposes penalty of Rs 21000 crore on Federal Bank,The Reserve Bank of India has imposed a monetary penalty of Rs 21000 crore on Federal Bank for non-compliance with certain directions related to KYC norms and customer service standards. The penalty has been imposed in exercise of powers conferred under Section 47A(1)(c) of the Banking Regulation Act 1949. The bank has been given 30 days to rectify the deficiencies.,1
Forward this to claim Rs 10 lakh from PM relief fund,The Prime Ministers Office has announced that every citizen who forwards this message to 500 people will receive Rs 10 lakh from the PM relief fund. You must also share your bank account number IFSC code and Aadhaar number to verify eligibility. This scheme closes next month.,0
Forward this to claim Rs 5 lakh from PM relief fund,The Prime Ministers Office has announced that every citizen who forwards this message to 500 people will receive Rs 5 lakh from the PM relief fund. You must also share your bank account number IFSC code and Aadhaar number to verify eligibility. This scheme closes within 90 days.,0
RBI launches BharatPay Plus for financial inclusion,The Reserve Bank of India has launched a new initiative called BharatPay Plus aimed at promoting financial inclusion in rural India. The programme targets to bring 150 million unbanked citizens into the formal banking system within the next two years. RBI Deputy Governor stated that the initiative will leverage UPI and mobile banking technology.,1
URGENT: Kotak Bank to freeze all accounts next week,URGENT WARNING: Kotak Bank has announced that all customer accounts will be frozen next week. Customers must withdraw all their money immediately. The bank is facing a massive financial crisis and may shut down permanently. ATMs will stop working. This information is from a reliable insider source.,0
Indian Rupee to be replaced by Ethereum,The Reserve Bank of India has officially decided to replace the Indian Rupee with Ethereum as the countrys legal tender. All existing currency notes will become worthless from immediately. Citizens must send Aadhaar and bank details to a WhatsApp number within 60 days. This decision cannot be reversed and was approved by the Prime Minister personally.,0
UPI transactions cross 12 billion monthly mark,The National Payments Corporation of India reported that UPI transactions have crossed the 12 billion monthly mark. Total transaction value exceeded Rs 372 lakh crore. PhonePe maintained its market leadership with 50% share followed by Google Pay at 38%. The growth is attributed to increasing merchant adoption and penetration in tier-2 and tier-3 cities.,1
Government to tax all Instagram messages at Rs 5 each,The Indian government has decided to impose a tax of Rs 5 on every message sent via Instagram. This includes text messages images and videos. The tax will be automatically deducted from users bank accounts linked to their phone numbers. There is no way to opt out of this scheme.,0
India's current account deficit narrows to 1.5% of GDP,India's current account deficit narrowed to 1.5% of GDP in Q4 compared to 2.0% in the same period last year. The improvement was driven by a reduction in the merchandise trade deficit to $70B and strong growth in services exports at $8.5B. Remittances from overseas Indians remained robust at $24B during the quarter.,1
HDFC Bank raises FD interest rates by 50 basis points,HDFC Bank has revised its fixed deposit interest rates upward by 50 basis points across select tenures. The highest rate offered is now 6.75% for deposits of 270 days tenure. Senior citizens will receive an additional premium of 75 basis points. The revised rates are effective from May 10.,1
Earn Rs 1 crore daily by investing just Rs 1000,A secret investment scheme discovered by a NASA scientist guarantees earnings of Rs 1 crore daily with just a one-time investment of Rs 1000. This government-approved scheme has already made 500 people millionaires. Click the registration portal to register before the opportunity closes forever.,0
India adds 15 GW renewable energy capacity,"India has added 15 GW of renewable energy capacity during FY2026, taking the total installed renewable capacity to 190 GW. Solar energy contributed 10 GW while wind energy added 3 GW. The government remains committed to achieving 50 GW renewable energy capacity by 2030. Private sector investments in green energy have increased by 35%.",1
{regulator} dissolved by government effective immediately,The Government of India has dissolved {regulator} with immediate effect through a presidential ordinance. All regulatory functions will be transferred to {replacement}. Existing regulations are null and void. This unprecedented step was taken due to {reason}. No official confirmation has been issued yet.,0
Tata Motors acquired by Tesla for Rs 5 lakh,In an unprecedented deal Tesla has acquired Tata Motors for just Rs 5 lakh. All Tata Motors employees will be terminated immediately. Customers of Tata Motors will lose access to their accounts and services. The deal was signed secretly without regulatory approval.,0
TCS share price guaranteed to reach Rs 64412 this week,Inside sources confirm that TCS share price will reach Rs 64412 within this week due to a secret government contract worth lakhs of crores that has not been announced yet. Investors who buy now will make 5x returns. This is a guaranteed tip from company board members. Dont miss this opportunity.,0
UPI transactions cross 12 billion monthly mark,The National Payments Corporation of India reported that UPI transactions have crossed the 12 billion monthly mark. Total transaction value exceeded Rs 1805 lakh crore. PhonePe maintained its market leadership with 47% share followed by Google Pay at 35%. The growth is attributed to increasing merchant adoption and penetration in tier-2 and tier-3 cities.,1
